topic,correct,type,date
AI,1.0,quiz,2026-03-25
AI,0.0,quiz,2026-03-25
Machine Learning,1.0,quiz,2026-03-26
Deep Learning,1.0,quiz,2026-03-26
AI,1.0,quiz,2026-03-27
git commands report.pdf,1.0,quiz,2026-03-29
git commands report.pdf,0.8,quiz,2026-03-29
git commands report.pdf,0.4,quiz,2026-03-29
git commands report.pdf,0.4,quiz,2026-03-29
https://youtu.be/_YPScrckx28?si=R9nrwZEykd5U_9UR,0.0,quiz,2026-04-04
git commands report.pdf,0.4,quiz,2026-04-04
git commands report.pdf,0.2,quiz,2026-04-04
basics of networking.pdf,0.6,quiz,2026-04-04
git commands report.pdf,0.8,quiz,2026-04-05
git commands report.pdf,0.0,quiz,2026-04-12
